Date_quarter,Date,sp500,vix,cpi,pop16,hours,priv_emp,wti,gs2,nfci,epu,gdp,inv,unrate,GPRD,GPRD_ACT,GPRD_THREAT,t10Y2Y,t10Y3M,payems
2008.25,2008-04-01,1371.62750434876,20.67296875,215.537666666667,233410,94.917,115379,123.963333333333,2.42333333333333,0.624596153846154,92.0026720372274,16943.291,2641.85,5.33333333333333,77.2006593406593,75.2771428571428,76.0246153846154,1.46515625,2.23140625,137862.333333333
2008.5,2008-07-01,1252.02468299866,25.0734375,218.861,234110.333333333,93.872,114599.666666667,117.983333333333,2.35666666666667,0.926006153846154,144.812558939815,16854.295,2589.254,6,89.0539130434783,95.9567391304348,80.7675,1.5021875,2.341875,137157
2008.75,2008-10-01,911.977345466614,58.6046875,213.848666666667,234825,91.473,113006,58.37,1.21333333333333,2.74857384615385,187.438112957417,16485.35,2338.938,6.86666666666667,79.3989130434783,93.281195652174,69.6982608695652,2.0191935483871,2.92290322580645,135561
2009,2009-01-01,807.665900558722,45,212.377666666667,234912.666666667,89.016,110724,42.96,0.906666666666667,2.15337307692308,185.119005524634,16298.262,2073.135,8.26666666666667,75.4045555555556,76.2611111111111,74.3105555555556,1.83196721311475,2.52393442622951,133295.666666667
2009.25,2009-04-01,892.601427835132,33.0157142857143,213.507,235459.333333333,86.833,108808.666666667,59.5433333333333,1.01333333333333,1.11168,115.448168140652,16269.145,1952.641,9.3,86.1856043956044,83.5857142857143,85.4935164835165,2.3031746031746,3.14952380952381,131432
2009.5,2009-07-01,995.748280525208,25.48625,215.344,236093,85.747,107957.333333333,68.2033333333333,1.03333333333333,0.336403846153846,104.846360868672,16326.281,1946.867,9.63333333333333,81.8919565217392,76.8278260869565,80.7270652173913,2.4878125,3.3578125,130460.333333333
2009.75,2009-10-01,1088.723279953,23.071875,217.03,236739,85.743,107463,76.0666666666667,0.873333333333333,-0.0252415384615385,98.1390386405122,16502.754,2128.516,9.93333333333333,89.1672826086957,90.8219565217391,85.2122826086956,2.58612903225806,3.40354838709677,129976
2010,2010-01-01,1123.5936019147,20.1496721311475,217.374,236996.333333333,86.109,107295.666666667,78.6266666666667,0.916666666666667,-0.258143076923077,126.090974241921,16582.71,2174.335,9.83333333333333,82.6641111111112,83.7545555555555,80.4947777777778,2.80016393442623,3.60803278688525,129790.666666667
2010.25,2010-04-01,1134.58443971664,26.3914285714286,217.297333333333,237506,86.762,107655.666666667,77.89,0.87,-0.235156153846154,133.732553410074,16743.162,2288.469,9.63333333333333,90.663956043956,77.5468131868132,97.110989010989,2.619375,3.34421875,130424
2010.5,2010-07-01,1096.24687480927,24.28359375,217.934333333333,238103.666666667,87.167,107979,76.1666666666667,0.54,-0.252416153846154,170.3055560638,16872.266,2390.072,9.46666666666667,77.6729347826087,79.0579347826087,73.4364130434783,2.24578125,2.6296875,130391
